Episode Number,Episode Title,Question
145,145: Wait to Panic,What should I do with the ends of bread?
145,145: Wait to Panic,How do you know when you get to the end of the galaxy?
145,145: Wait to Panic,How did they livestream the lunar landing?
146,146: Skate with Snakes,How did people tell time before clocks?
146,146: Skate with Snakes,Should I go to a thing just to avoid FOMO?
146,146: Skate with Snakes,How do I deal with popsicle haters?
147,147: Celebrities on a Plane,Should I tell my boyfriend he has a fandom?
147,147: Celebrities on a Plane,What do you do in a non-reciprocal high five situation?
147,147: Celebrities on a Plane,Why are football scarves so short?
148,148: Hiding Nuts,Why is there no $25 bill?
148,148: Hiding Nuts,What happens to a person’s consciousness when they're teleported?
148,148: Hiding Nuts,What does space smell like?
149,149: Let's Be Mermaids,Where would you put an extra eye?
149,149: Let's Be Mermaids,How do I survive at home alone?
149,149: Let's Be Mermaids,Why is underwear a pair?
150,150: Spicy Limes,What should I do with this tooth?
150,150: Spicy Limes,How do I keep a secret?
150,150: Spicy Limes,How do I get out of the shadow of my parents’ triumphs?
151,151: Dapper Dudes,How do I tell my boyfriend he's beautiful?
151,151: Dapper Dudes,Can I talk to my cousin's ex?
151,151: Dapper Dudes,How do I figure out my music taste?
152,"152: Thank You, Hot Fries!!",Are we living in a simulation?
152,"152: Thank You, Hot Fries!!",Are there other types of teeth?
152,"152: Thank You, Hot Fries!!",What should I do with this bowl?
153,153: Perfectly Normal Art Projects (w/ Sarah Urist Green!),Can I use being an artist as an excuse for being weird?
153,153: Perfectly Normal Art Projects (w/ Sarah Urist Green!),How do museum benches work?
153,153: Perfectly Normal Art Projects (w/ Sarah Urist Green!),What is the best advice a parent can give their child?
154,154: You're Doing Great (w/ Tessa Violet!),What do I do when I'm asked to lie to children?
154,154: You're Doing Great (w/ Tessa Violet!),Should I tell my boss I'm obsessed with her famous son?
154,154: You're Doing Great (w/ Tessa Violet!),Why is Dodie so much better at stuff than I am?
155,155: Drunk Fruit Squirrels,Can I wear my Tuesday shirt on other days?
155,155: Drunk Fruit Squirrels,How do I give advice that doesn't hurt feelings but is still helpful?
155,155: Drunk Fruit Squirrels,Did I steal this plant?
156,156: There Is a Diversity of Opinions Among the People Who Drive This Car,How can I avoid having to dress up for Halloween?
156,156: There Is a Diversity of Opinions Among the People Who Drive This Car,What do you do when your friends make fun of your friend?
156,156: There Is a Diversity of Opinions Among the People Who Drive This Car,How do I artfully display my rib?
157,157: It's My Soundtrack! (w/ Rosianna Halse Rojas!),Should I treasure my books more?
157,157: It's My Soundtrack! (w/ Rosianna Halse Rojas!),Can I learn to sleep standing up like a horse?
157,157: It's My Soundtrack! (w/ Rosianna Halse Rojas!),Does everyone have an eighties disco playing in their head?
158,158: President Alligator,Why do people hate raisins?
158,158: President Alligator,Is U2 a boy band?
158,158: President Alligator,How do I make friends with the people I work with?
159,159: The Horrifying Five-Tined Fork,How do I get out of this maze?
159,159: The Horrifying Five-Tined Fork,What do I do with this cello?
159,159: The Horrifying Five-Tined Fork,When will I stop having to call my mom to help me figure out life?
160,160: You Are Not My Bus,Where should I look when I'm talking to someone?
160,160: You Are Not My Bus,Will aliens ride our roller coasters when we're all dead?
160,160: You Are Not My Bus,Should guests help do the dishes?
161,161: Your Dabbing Uncle Hank,At what point do I fail?
161,161: Your Dabbing Uncle Hank,What should I do while I'm waiting to be sawed in half?
161,161: Your Dabbing Uncle Hank,Should I eat the fungus?
162,162: The Fault in Our Mars,What tricks can babies do?
162,162: The Fault in Our Mars,Should I become a space lawyer?
162,162: The Fault in Our Mars,Did I let a guy steal my car?
163,163: A Man's Man's Guide to Potassium,How do I convince my boyfriend not to grow a mullet?
163,163: A Man's Man's Guide to Potassium,"What do I do with this small, hot towel?"
163,163: A Man's Man's Guide to Potassium,Should I destroy my sad friend in Words with Friends?
164,164: The Kurt Vonnegut Special,How much money should I ask for?
164,164: The Kurt Vonnegut Special,How do I talk to my crush?
164,164: The Kurt Vonnegut Special,Will climate change make mountains shorter?
165,165: We're Gonna Make It,What would it feel like to be microwaved?
165,165: We're Gonna Make It,How do I get my dad to chill on Facebook?
165,165: We're Gonna Make It,How do I confront my roommate about the ferret oatmeal baths?
166,166: Do Not Enter the Secret Room,Why are human babies so useless?
166,166: Do Not Enter the Secret Room,What's with Ohio's salad crackers?
166,166: Do Not Enter the Secret Room,Why can't I use an umbrella in the snow?
167,167: A Song Called Shhh,What should I do about the accordion player outside?
167,167: A Song Called Shhh,Should I take a trip to a strange city by myself?
167,167: A Song Called Shhh,How do I get in the secular Christmas spirit?
168,"168: All of Them, Including LinkedIn",Where did all the websites go?
168,"168: All of Them, Including LinkedIn",How do you solve a problem like Maria?
168,"168: All of Them, Including LinkedIn",What's my brand?
169,169: A Perpetual Christmas Civilization That Orbits the Sun,Why do we put people on pedestals?
169,169: A Perpetual Christmas Civilization That Orbits the Sun,How can I get better at mornings?
169,169: A Perpetual Christmas Civilization That Orbits the Sun,What should I hide under the floorboards?
170,"170: You Can Trust Us, We're Aliens",How do I teach a class I know almost nothing about?
170,"170: You Can Trust Us, We're Aliens",What if humans had tails?
170,"170: You Can Trust Us, We're Aliens",Why can’t you walk through a drive-through?
171,171: Our Pasta-Making Robot Overlords,What do I do when all my friends hang out without me?
171,171: Our Pasta-Making Robot Overlords,Are beans basically small potatoes?
171,171: Our Pasta-Making Robot Overlords,How do you smuggle a swan internationally?
172,172: Get in Touch with Your Glitter Side,How do I stop receiving so many Peeps?
172,172: Get in Touch with Your Glitter Side,Why do I have to sneeze immediately after I put on mascara?
172,172: Get in Touch with Your Glitter Side,How do I use a bus?
173,"173: My Ghost Date, Timothy",What should I do at prom by myself?
173,"173: My Ghost Date, Timothy",Can ghosts ride in cars?
173,"173: My Ghost Date, Timothy",How do you end a voicemail?
174,"174: The Mysterious ""Stolen"" Car",Am I too old to race down hotel hallways?
174,"174: The Mysterious ""Stolen"" Car",Is there a stranger in my attic?
174,"174: The Mysterious ""Stolen"" Car",How do you make plans with a subgroup of friends?
175,175: Burn It All!!!!,What should I put in my journal?
175,175: Burn It All!!!!,Should I sign a card for someone I don't know?
175,175: Burn It All!!!!,What do I do when strangers tell me my shoes are untied?
176,176: The Celebrity Life Coaches of Your Dreams,Should penguins go to Mars?
176,176: The Celebrity Life Coaches of Your Dreams,Why do we chew rubber?
176,176: The Celebrity Life Coaches of Your Dreams,"Is this frantic, indecisive squirrel okay?"
177,177: Gum Influencers,How do I know if I'm being a know-it-all?
177,177: Gum Influencers,How do we survive the 2020 presidential election?
177,177: Gum Influencers,At what point does a flying fish become a swimming bird?
178,178: Snack Man! (Live at PodCon!),How do I propose to my girlfriend if I can't get down on one knee?
178,178: Snack Man! (Live at PodCon!),How do I get rid of a bad nickname?
178,178: Snack Man! (Live at PodCon!),Should I cause chaos?
179,179: The Queen's Dream Job (w/ Danielle Bainbridge!),Should I pretend to dislike my sister?
179,179: The Queen's Dream Job (w/ Danielle Bainbridge!),How do I not put too much pressure on my dream job?
179,179: The Queen's Dream Job (w/ Danielle Bainbridge!),How much salt does it take to mummify a person?
180,180: The Bird Thunderdome (w/ Katherine Green!),How do I win the bird hospitality battle?
180,180: The Bird Thunderdome (w/ Katherine Green!),Are the keys part of the car?
180,180: The Bird Thunderdome (w/ Katherine Green!),How do I get better at creative writing?
181,181: Comforting Existential Crises (w/ Jana Hisham!),When are you too old to read YA?
181,181: Comforting Existential Crises (w/ Jana Hisham!),How do you get lost in a healthy way?
181,181: Comforting Existential Crises (w/ Jana Hisham!),Are there entire civilizations on the bottom of the ocean?
182,182: It’s All Hermeneutics to Me,Are our voices actually slightly deeper?
182,182: It’s All Hermeneutics to Me,What's going on with paperclips?
182,182: It’s All Hermeneutics to Me,How do I keep out the chickens?
183,183: John's Subway Safety Procedures,How do you stay focused on one project for a long time?
183,183: John's Subway Safety Procedures,Should I tell this stranger to examine their zipper?
183,183: John's Subway Safety Procedures,Are there other kinds of ketchup?
184,184: Lady with the Time Piece (w/ Helen Zaltzman!),How do you deal with saying something wrong publicly?
184,184: Lady with the Time Piece (w/ Helen Zaltzman!),How far does a squirrel's social sphere extend?
184,184: Lady with the Time Piece (w/ Helen Zaltzman!),Can I ask my friend questions about her surgery?
185,185: Time-Traveling Battle Axes,Who owns the bones?
185,185: Time-Traveling Battle Axes,Why are American coins so confusing?
185,185: Time-Traveling Battle Axes,Would dragon eggs have scales?
186,186: The Morlon Wiley Way In,How do you open an envelope?
186,186: The Morlon Wiley Way In,How do companies turn attention into money?
186,186: The Morlon Wiley Way In,What's the deal with the itsy bitsy spider?
187,187: The Uncle Mike Way of Life,How do I fairly distribute my hugs?
187,187: The Uncle Mike Way of Life,Could black holes suck up the Earth?
187,187: The Uncle Mike Way of Life,How do I change the way I walk?
187,187: The Uncle Mike Way of Life,How can I support my stressed-out dad?
187,187: The Uncle Mike Way of Life,What's the best way to receive negative performance reviews?
187,187: The Uncle Mike Way of Life,What do I do if I vomit at work?
187,187: The Uncle Mike Way of Life,Why don't ants die when they fall from heights?
187,187: The Uncle Mike Way of Life,Who should play me in the movie of my life?
188,188: The Imperial Bridal March,What is the proper thing to do with abandoned table beer?
188,188: The Imperial Bridal March,What's the best way to spend time on trains?
188,188: The Imperial Bridal March,How do I move on when my favorite show ends?
188,188: The Imperial Bridal March,How do I sleep in without waking up with a backache?
188,188: The Imperial Bridal March,"Should I have played ""The Imperial March"" at a wedding?"
188,188: The Imperial Bridal March,Are you allowed to use the soap in another person's shower?
188,188: The Imperial Bridal March,Why do some carrots taste earthier than others?
188,188: The Imperial Bridal March,Why isn't there a Neptune Day?
188,188: The Imperial Bridal March,What should I do about Gavin's grass ideas?
189,189: Weird Statistics,Do a lot of people swerve?
189,189: Weird Statistics,What constitutes black coffee?
189,189: Weird Statistics,How do I make mac and cheese if I don't have milk?
189,189: Weird Statistics,What is the rage/luck relationship when it comes to pennies?
189,189: Weird Statistics,How do I find out my therapist's name?
189,189: Weird Statistics,Should I give books to people who don't like to read?
189,189: Weird Statistics,How should I deal with family drama?
189,189: Weird Statistics,How do I get my charger back?
189,189: Weird Statistics,Is it time to rip off the Band-Aid?
190,190: The Top Three Best Things About Sneezing Underwater,How do I get people to remember who I am?
190,190: The Top Three Best Things About Sneezing Underwater,What do I do about the Red Bull I spilled in a kid's backpack?
190,190: The Top Three Best Things About Sneezing Underwater,How do I deal with my girlfriend's unaccepting parents?
190,190: The Top Three Best Things About Sneezing Underwater,Does cold water boil faster than hot water?
190,190: The Top Three Best Things About Sneezing Underwater,Which way should a staple face?
190,190: The Top Three Best Things About Sneezing Underwater,Is it possible to sneeze underwater?
190,190: The Top Three Best Things About Sneezing Underwater,What is the correct way to eat the bottom of a popsicle?
190,190: The Top Three Best Things About Sneezing Underwater,How do I get out of being grounded?
190,190: The Top Three Best Things About Sneezing Underwater,"Can I bring my boyfriend to a thing even though it says ""spouses only""?"
191,191: The Engagement Duck,What is the dress code if there is no dress code?
191,191: The Engagement Duck,Where can I be anxious at work?
191,191: The Engagement Duck,What should I do with 72 tall vases?
191,191: The Engagement Duck,How can I avoid having to do dishes?
191,191: The Engagement Duck,How can I grow my own vegetables if the Sun is in the wrong place?
191,191: The Engagement Duck,How do I sort out my priorities?
191,191: The Engagement Duck,How do I tell my girlfriend's mother we aren't ready for a duck?
191,191: The Engagement Duck,Is there a polite way to ask someone to eat quietly?
191,191: The Engagement Duck,How and where should I conceal the dream rock?
192,192: Raised on a Yacht (w/ Vanessa Hill of BrainCraft!),Vanessa Hill of BrainCraft joins Hank to answer your questions! Has it ever not been raining?
192,192: Raised on a Yacht (w/ Vanessa Hill of BrainCraft!),Can I change my major if I have a scholarship?
192,192: Raised on a Yacht (w/ Vanessa Hill of BrainCraft!),Should there be compulsory voting?
192,192: Raised on a Yacht (w/ Vanessa Hill of BrainCraft!),How do I learn to ride a bike?
192,192: Raised on a Yacht (w/ Vanessa Hill of BrainCraft!),What is tipping etiquette in the US?
192,192: Raised on a Yacht (w/ Vanessa Hill of BrainCraft!),When is it my turn to watch TV?
192,192: Raised on a Yacht (w/ Vanessa Hill of BrainCraft!),Can I take a blanket covered with pictures of me to college?
192,192: Raised on a Yacht (w/ Vanessa Hill of BrainCraft!),Will the US claim Mars as a state?
192,192: Raised on a Yacht (w/ Vanessa Hill of BrainCraft!),How does boxed mac and cheese work?
193,193: It's Like a Pool of Liver!,Why do I cry more easily as I get older?
193,193: It's Like a Pool of Liver!,What is SPF?
193,193: It's Like a Pool of Liver!,What are healthy methods to combat loneliness?
193,193: It's Like a Pool of Liver!,What should I do if I busted a hole in the wall while bonding with my sibling?
193,193: It's Like a Pool of Liver!,How do I be less curt in texts and emails?
193,193: It's Like a Pool of Liver!,Where does John consume his hot takes?
193,193: It's Like a Pool of Liver!,How do I stop being bad at cooking?
193,193: It's Like a Pool of Liver!,How would John and Hank have met if they weren’t brothers?
193,193: It's Like a Pool of Liver!,How do I make this locker room my new home?
194,"194: Fortunately, They Are Not Carnivores",How do I advance past the waving stage of acquaintanceship?
194,"194: Fortunately, They Are Not Carnivores",What does one do at conferences?
194,"194: Fortunately, They Are Not Carnivores",My friend based a character off of me but the character sucks?
194,"194: Fortunately, They Are Not Carnivores",How do I get in my house if I'm locked out?
194,"194: Fortunately, They Are Not Carnivores",From where does a giant African land snail poop?
194,"194: Fortunately, They Are Not Carnivores",Can I have only one jacked arm?
195,195: Fun with Bob and John!,What should I do with all these keys?
195,195: Fun with Bob and John!,How do I unrecommend a raunchy novel to my grandma?
195,195: Fun with Bob and John!,What's a good psychology team name?
195,195: Fun with Bob and John!,What is the most effective way to pull an all-nighter?
195,195: Fun with Bob and John!,What should I call my girlfriend's parents?
195,195: Fun with Bob and John!,Why are middle schoolers so terrifying?
195,195: Fun with Bob and John!,What do I do with all these tomatoes?
196,196: There Is Nothing You Are Not,How did they decide doorbells should go ding dong?
196,196: There Is Nothing You Are Not,How do I get my coworkers out of my personal life?
196,196: There Is Nothing You Are Not,Why does Hank have button-up jeans?
196,196: There Is Nothing You Are Not,How do you not worry that everything you write has been written before?
196,196: There Is Nothing You Are Not,What are the odds that I'm part pigeon?
196,196: There Is Nothing You Are Not,Why don't you see tons of stars when you're in space?
197,197: It's All About Empowerment! (w/ Jenny Owen Youngs!),How do I promote myself?
197,197: It's All About Empowerment! (w/ Jenny Owen Youngs!),Are museums better explored individually or as a group?
197,197: It's All About Empowerment! (w/ Jenny Owen Youngs!),What should I do with memorabilia I don't intend to display?
197,197: It's All About Empowerment! (w/ Jenny Owen Youngs!),What do I do when someone's in my seat?
197,197: It's All About Empowerment! (w/ Jenny Owen Youngs!),How should Sincere sign off emails?
197,197: It's All About Empowerment! (w/ Jenny Owen Youngs!),Why do bugs die on their backs?
197,197: It's All About Empowerment! (w/ Jenny Owen Youngs!),How do we put less value in personality tests?
197,197: It's All About Empowerment! (w/ Jenny Owen Youngs!),Do mascots smile inside the suit when posing for pictures?
198,198: No Ticket Out,What's with birthday cake flavor?
198,198: No Ticket Out,How do we know where we are in space?
198,198: No Ticket Out,Are we the last generation of humans?
198,198: No Ticket Out,Is it safe to shower when the power is out?
198,198: No Ticket Out,Can I be a dyslexic nerdfighter?
198,198: No Ticket Out,What do I wear to a pirate-themed wedding?
198,198: No Ticket Out,What is the physics of window air conditioners?
198,198: No Ticket Out,How do I stop talking about things my friends don’t care about?
200,200: Only If You Got Enough Life Jackets,What is the setup for this joke?
200,200: Only If You Got Enough Life Jackets,What's with people waving from boats?
200,200: Only If You Got Enough Life Jackets,Why don't cartoons change their outfits?
200,200: Only If You Got Enough Life Jackets,How do I tell someone I’ll be back but not RIGHT back?
200,200: Only If You Got Enough Life Jackets,What is your self-care routine?
200,200: Only If You Got Enough Life Jackets,How do I follow soccer?
200,200: Only If You Got Enough Life Jackets,Where are all the Bob Ross paintings?
200,200: Only If You Got Enough Life Jackets,Why are flies?
200,200: Only If You Got Enough Life Jackets,?
201,201: Giant Stone Abraham Lincoln 2020,Can a sentient statue run for president?
201,201: Giant Stone Abraham Lincoln 2020,How do I attend a show solo?
201,201: Giant Stone Abraham Lincoln 2020,How can I be bougie enough for art frames?
201,201: Giant Stone Abraham Lincoln 2020,Could Elsa solve climate change?
201,201: Giant Stone Abraham Lincoln 2020,How can I not be a sobbing mess on my wedding day?
201,201: Giant Stone Abraham Lincoln 2020,Should I make a new ring for my dad?
201,201: Giant Stone Abraham Lincoln 2020,What should I do when I'm not sure if I know someone?
202,202: Pants Clone,Where are the natural wheels?
202,202: Pants Clone,How do I make a conspiracy theorist understand that space exists?
202,202: Pants Clone,What are SEO tools?
202,202: Pants Clone,Should we market climate change better?
202,202: Pants Clone,Why are car horns so primitive?
202,202: Pants Clone,How do I confront my mortality compared to red curry paste?
202,202: Pants Clone,What do I do about the frog in the car?
202,202: Pants Clone,Are Tic Tacs food?
203,"203: Joy, Attention, Justice, Hips Don't Lie",What do I do with 15 pounds of cornbread?
203,"203: Joy, Attention, Justice, Hips Don't Lie",Where do song lyrics live in our brains?
203,"203: Joy, Attention, Justice, Hips Don't Lie",Why are we here?
203,"203: Joy, Attention, Justice, Hips Don't Lie",How did people get answers before Google?
203,"203: Joy, Attention, Justice, Hips Don't Lie",How often should I vacuum?
203,"203: Joy, Attention, Justice, Hips Don't Lie",Do wedding pianists get anxious?
203,"203: Joy, Attention, Justice, Hips Don't Lie",When are my vegetable plants ready?
203,"203: Joy, Attention, Justice, Hips Don't Lie",Can I skip the parts about farming in Anna Karenina?
204,"204: Quiet, Subdued, and Possibly Illicit",How do I make this flesh-eating bacteria sound safe?
204,"204: Quiet, Subdued, and Possibly Illicit",How do I tell my housemate not to get a crockpot?
204,"204: Quiet, Subdued, and Possibly Illicit",Am I as unlikeable as the character I wrote?
204,"204: Quiet, Subdued, and Possibly Illicit",Does my friend live with a ghost?
204,"204: Quiet, Subdued, and Possibly Illicit",How did conspiracy theories spread before the internet?
204,"204: Quiet, Subdued, and Possibly Illicit",Why are the most-viewed vlogbrothers videos about giraffe sex?
204,"204: Quiet, Subdued, and Possibly Illicit",How do I stop my favorite movie from being my whole personality?
204,"204: Quiet, Subdued, and Possibly Illicit",How would fandoms respond to the apocalypse?
205,205: Piggy Bank Toughness,Should I call this strange number back?
205,205: Piggy Bank Toughness,What have I missed on the pod?
205,205: Piggy Bank Toughness,Why are your faves your faves?
205,205: Piggy Bank Toughness,Don't you need more than lemons for lemonade?
205,205: Piggy Bank Toughness,How do I get the money out of this coin bank?
205,205: Piggy Bank Toughness,Should I get bangs?
205,205: Piggy Bank Toughness,Should I change my email address?
205,205: Piggy Bank Toughness,Why do I get the urge to get my life together in the middle of the night?
205,205: Piggy Bank Toughness,How do I make time pass in my stories?
205,205: Piggy Bank Toughness,What is with that baseball song?
206,206: If You Can't Put Your Mouth There... (with Andrew Levitt AKA Nina West!),How should I act around my professor who is also my peer?
206,206: If You Can't Put Your Mouth There... (with Andrew Levitt AKA Nina West!),Do the knobs on toasters control heat or time?
206,206: If You Can't Put Your Mouth There... (with Andrew Levitt AKA Nina West!),How do I not get matching tattoos with my mom?
206,206: If You Can't Put Your Mouth There... (with Andrew Levitt AKA Nina West!),Do you ever think about where all your hair is in the world?
206,206: If You Can't Put Your Mouth There... (with Andrew Levitt AKA Nina West!),How can I be less judgmental?
206,206: If You Can't Put Your Mouth There... (with Andrew Levitt AKA Nina West!),How should you display a sugar packet collection?
206,206: If You Can't Put Your Mouth There... (with Andrew Levitt AKA Nina West!),How do I tell people who think I'm dead that I'm not dead?
206,206: If You Can't Put Your Mouth There... (with Andrew Levitt AKA Nina West!),What should I do when I ring the doorbell and I'm not sure if I rang the doorbell?
206,206: If You Can't Put Your Mouth There... (with Andrew Levitt AKA Nina West!),How should you respond to neck skin compliments?
206,206: If You Can't Put Your Mouth There... (with Andrew Levitt AKA Nina West!),Are my new friends friends?
207,207: The Still Escalators of Doom,Why are unmoving escalators so disconcerting?
207,207: The Still Escalators of Doom,What do I do about the plant that died while I was house sitting?
207,207: The Still Escalators of Doom,What should I tell people who think I'm moving to the worst place in the world?
207,207: The Still Escalators of Doom,Should I tell my mom you're still alive?
207,207: The Still Escalators of Doom,What condiment would your body dispense?
207,207: The Still Escalators of Doom,How does iambic pentameter work?
207,207: The Still Escalators of Doom,How do we know when we're deriving too much from art?
207,207: The Still Escalators of Doom,How do I make friends in junior high?
207,207: The Still Escalators of Doom,How do I talk my brother out of aspiring to be a YouTube star?
208,"208: Speedo Minotaur Guy (Live from Madison, WI!)",Why is my instinct to hug my dogs too hard?
208,"208: Speedo Minotaur Guy (Live from Madison, WI!)","If you had to move to Sesame Street, who would you want to be your neighbor?"
208,"208: Speedo Minotaur Guy (Live from Madison, WI!)",How do you know when the story you've written is done?
208,"208: Speedo Minotaur Guy (Live from Madison, WI!)",Why was Halley's Comet selected for The Anthropocene Reviewed?
208,"208: Speedo Minotaur Guy (Live from Madison, WI!)",How does one properly celebrate the removal of orthodontia?
208,"208: Speedo Minotaur Guy (Live from Madison, WI!)",Am I causing defective elevators?
208,"208: Speedo Minotaur Guy (Live from Madison, WI!)",What do I do if my boyfriend is the speedo guy?
208,"208: Speedo Minotaur Guy (Live from Madison, WI!)",Is it okay if I wear my wedding band before I get married?
209,"209: Sword Dabbing (Live from Minneapolis, MN!)",How should I invest to survive a financial downturn?
209,"209: Sword Dabbing (Live from Minneapolis, MN!)",How often do I really need to change my underwear?
209,"209: Sword Dabbing (Live from Minneapolis, MN!)",Am I a bag?
209,"209: Sword Dabbing (Live from Minneapolis, MN!)",How do help seventh graders?
209,"209: Sword Dabbing (Live from Minneapolis, MN!)",Should we think about the 2D world?
209,"209: Sword Dabbing (Live from Minneapolis, MN!)",What are wedding planning tips?
209,"209: Sword Dabbing (Live from Minneapolis, MN!)",How do I stop imitating accents?
209,"209: Sword Dabbing (Live from Minneapolis, MN!)",How do I deal with the ghosts?
209,"209: Sword Dabbing (Live from Minneapolis, MN!)",How do I innovate in a sword company?
210,210: Chest Moose Tattoo (w/ SciShow Tangents!),What's going on with microbes?
210,210: Chest Moose Tattoo (w/ SciShow Tangents!),What happens when an astronaut sneezes in space?
210,210: Chest Moose Tattoo (w/ SciShow Tangents!),Why do we have toes?
210,210: Chest Moose Tattoo (w/ SciShow Tangents!),Should I dress fancier?
210,210: Chest Moose Tattoo (w/ SciShow Tangents!),Why aren’t there drones on Mars?
210,210: Chest Moose Tattoo (w/ SciShow Tangents!),Do you get lighter every time you fart?
210,210: Chest Moose Tattoo (w/ SciShow Tangents!),What do I do about the poster I don’t understand?
210,210: Chest Moose Tattoo (w/ SciShow Tangents!),Why do animals live for different amounts of time?
211,"211: You Can Tik Whatever You Can Tok, Baby (Live from VidCon Australia w/ Zach Kornfeld!)",What is the least dumb way to ask someone out?
211,"211: You Can Tik Whatever You Can Tok, Baby (Live from VidCon Australia w/ Zach Kornfeld!)",What’s your strategy for winning Seven Wonders?
211,"211: You Can Tik Whatever You Can Tok, Baby (Live from VidCon Australia w/ Zach Kornfeld!)",How did you start from nothing?
211,"211: You Can Tik Whatever You Can Tok, Baby (Live from VidCon Australia w/ Zach Kornfeld!)",If you can portray any celebrity in a biopic who would it be?
211,"211: You Can Tik Whatever You Can Tok, Baby (Live from VidCon Australia w/ Zach Kornfeld!)",Would you consider becoming a TikTok star?
211,"211: You Can Tik Whatever You Can Tok, Baby (Live from VidCon Australia w/ Zach Kornfeld!)",Why do birds?
212,212: The Billionaire Cactus Ghost,What can I do with my cactus costume?
212,212: The Billionaire Cactus Ghost,What do you do when people you don't know recognize you?
212,212: The Billionaire Cactus Ghost,Why are all the ghosts so old?
212,212: The Billionaire Cactus Ghost,Where do grownups keep their potatoes?
212,212: The Billionaire Cactus Ghost,Are there ghosts on Mars?
212,212: The Billionaire Cactus Ghost,How do I make my career choice not sound boring?
212,212: The Billionaire Cactus Ghost,Is climate change for real?
213,213: Baddy One Shoe,Why don't we sink in sand?
213,213: Baddy One Shoe,How do I not freak out about all the time I'm wasting?
213,213: Baddy One Shoe,Do naughty people only wear one shoe?
213,213: Baddy One Shoe,Why do microwaves rotate food?
213,213: Baddy One Shoe,Am I up or down for whatever?
213,213: Baddy One Shoe,My boyfriend doesn't know who Elon Musk is?
213,213: Baddy One Shoe,What would happen if we immediately halted single-use plastics?
214,214: Crime Dentures,How do I make a film for dental school?
214,214: Crime Dentures,What if my anglerfish doesn’t match my room decor?
214,214: Crime Dentures,What should I do with a bag full of 1500 pictures of pregnant Harry Styles?
214,214: Crime Dentures,Do I need to talk to my boss about the book they lent me?
214,214: Crime Dentures,Can I zest a bit of lime at the store?
214,214: Crime Dentures,Any podcast recommendations?
214,214: Crime Dentures,What song should I blast through the church steeple?
215,215: The Big Card,Is it acceptable to put sugar on cottage cheese?
215,215: The Big Card,Can a Ravenclaw wear Slytherin merch?
215,215: The Big Card,How do I stop stressing about stress?
215,215: The Big Card,How do we know what's at the center of the Earth?
215,215: The Big Card,Should British people get a constitution?
215,215: The Big Card,Why don't snow globes get moldy inside?
215,215: The Big Card,Why do grocery stores have olive bars?
215,215: The Big Card,Should I ask why I wasn't invited to a wedding?
216,216: Zombie Turtle Party,Why do we say “head over heels”?
216,216: Zombie Turtle Party,What should I wear to a Mountain Goats concert?
216,216: Zombie Turtle Party,What is the best thing that happened during the 2010s?
216,216: Zombie Turtle Party,Do airplanes have horns?
216,216: Zombie Turtle Party,What is my boyfriend’s interesting news?
216,216: Zombie Turtle Party,?
216,216: Zombie Turtle Party,How much money would I need to donate to PIH to get you to go bungee jumping or skydiving?
216,216: Zombie Turtle Party,What should I bring to a zombie turtle party besides a shovel?
216,216: Zombie Turtle Party,Justice or mercy?
216,216: Zombie Turtle Party,What happened to the short poems?
217,217: Rocks to Earth 2028!,Can stinging insects sting other insects?
217,217: Rocks to Earth 2028!,What is the scientific difference between stuffy and fresh air?
217,217: Rocks to Earth 2028!,Why aren't there many books about twenty-somethings?
217,217: Rocks to Earth 2028!,When did limos become uncool?
217,217: Rocks to Earth 2028!,How do I survive as the fifth wheel at Disney World?
217,217: Rocks to Earth 2028!,How do we know no two snowflakes are alike?
217,217: Rocks to Earth 2028!,What do you do on a bus with 51 twelve-year-olds?
218,218: Hank & John's Airport Stories,Why shouldn't I take my temperature after I eat?
218,218: Hank & John's Airport Stories,Will my fingerprint grow back?
218,218: Hank & John's Airport Stories,How will COPPA affect Crash Course?
218,218: Hank & John's Airport Stories,Can my bottle of frozen water get through TSA?
218,218: Hank & John's Airport Stories,At what age are you supposed to use the money in your piggy bank?
218,218: Hank & John's Airport Stories,What are the noises that landlines make when you dial a number?
218,218: Hank & John's Airport Stories,Could Bill Gates cure cancer?
218,218: Hank & John's Airport Stories,Will stickers be our civilization's cave art?
219,219: How to Become Part Crow,What is the proper reaction to a canceled Shawn Mendes concert?
219,219: How to Become Part Crow,When should I wear my fancy diamond gold pretzel necklace?
219,219: How to Become Part Crow,What am I supposed to do with the urn my dog's ashes were in?
219,219: How to Become Part Crow,Why do hamsters like wheels?
219,219: How to Become Part Crow,Why are there so few new Christmas songs?
219,219: How to Become Part Crow,Could I get a blood transplant from a crow?
219,219: How to Become Part Crow,Why don't we talk about the moon during the day?
220,220: Haunted Christmas Trees,Is it okay to go to your old house and ask if you can walk through it?
220,220: Haunted Christmas Trees,How do you research?
220,220: Haunted Christmas Trees,How do you interject in conversations smoothly?
220,220: Haunted Christmas Trees,Can you unpickle a pickle?
220,220: Haunted Christmas Trees,What should my rice crispy sculpture be?
220,220: Haunted Christmas Trees,Can I enjoy religious music as an atheist?
220,220: Haunted Christmas Trees,How do you sell yourself?
220,220: Haunted Christmas Trees,Will this tree haunt us?
222,222: Just a Man Who’s Lost His Dongle,What should I do with my art money?
222,222: Just a Man Who’s Lost His Dongle,What do you do if you miss a flight?
